step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
389,190090,778,0.03492102959983787,0.5,0.5,,,,,
390,190620,780,0.02495679529331469,0.5,0.5,,,,,
391,190910,782,0.0397948171479786,0.5,0.5,,,,,
392,192208,784,0.024809720549076597,0.0,0.0,,,,,
393,192498,786,0.03795089649031474,0.5,0.5,0.023134839044919905,1.0,1.0,,
394,192996,788,0.025336967920766,1.0,1.0,,,,,
395,193382,790,0.03608646514825978,0.5,0.5,,,,,
396,193832,792,0.0328930668177707,0.5,0.5,,,,,
397,194250,794,0.032105167223631166,1.0,1.0,,,,,
398,195052,796,0.022727142557773913,1.0,1.0,,,,,
399,195582,798,0.034200285506219986,0.0,0.0,,,,,
400,195872,800,0.032354702271573436,0.5,0.5,,,,,
401,196210,802,0.031028473888848867,0.5,0.5,0.038442274511887614,0.5,0.5,,
402,196500,804,0.03882330898528987,0.5,0.5,,,,,
403,196902,806,0.04003655071521061,0.5,0.5,,,,,
404,197336,808,0.03391258553304027,0.5,0.5,,,,,
405,197706,810,0.03286277135959529,1.0,1.0,,,,,
406,197996,812,0.022120016913985536,1.0,1.0,,,,,
407,198366,814,0.032231679501724696,1.0,1.0,,,,,
408,198784,816,0.0363772318881638,0.0,0.0,,,,,
409,199282,818,0.02473750871895801,0.5,0.5,0.030011942390897106,1.0,1.0,,
410,199572,820,0.03526963799035406,0.0,0.0,,,,,
411,200070,822,0.028157052162790814,0.0,0.0,,,,,
412,200408,824,0.027329115792883735,0.5,0.5,,,,,
413,200682,826,0.043292743157542335,0.0,0.0,,,,,
414,201084,828,0.03445209286933823,0.5,0.5,,,,,
415,201678,830,0.03299072885407146,0.5,0.5,,,,,
416,202128,832,0.031193413255102446,0.0,0.0,,,,,
417,202786,834,0.02608517775359449,0.5,0.5,0.03460871527599057,0.5,0.5,,
418,203556,836,0.027263150494898886,0.0,0.0,,,,,
419,203894,838,0.03996231910893736,0.5,0.5,,,,,
420,204312,840,0.025387177727679955,1.0,1.0,,,,,
421,204730,842,0.034141671065057944,1.0,1.0,,,,,
422,205180,844,0.02921383905447734,0.5,0.5,,,,,
423,205662,846,0.022512970281846723,0.5,0.5,,,,,
424,205920,848,0.026566695010081392,1.0,1.0,,,,,
425,206482,850,0.027507786017420585,1.0,1.0,0.027184887854297506,0.5,0.5,,
426,206900,852,0.02857836430981284,0.5,0.5,,,,,
427,207302,854,0.04205290049830038,0.5,0.5,,,,,
428,207976,856,0.023054646553105372,1.0,1.0,,,,,
429,208410,858,0.040390907642293444,0.5,0.5,,,,,
430,208812,860,0.0380505456826344,0.5,0.5,,,,,
431,209198,862,0.03840824378768654,0.5,0.5,,,,,
432,209568,864,0.032714884018670363,0.5,0.5,,,,,
433,210130,866,0.03288573307893187,1.0,1.0,0.033537899916663165,1.0,1.0,,
434,210532,868,0.027795409340750483,0.5,0.5,,,,,
435,210966,870,0.03813073792511878,0.0,0.0,,,,,
436,211336,872,0.031903001796519836,1.0,1.0,,,,,
437,211786,874,0.033290315833932514,0.5,0.5,,,,,
